Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4121;Q4;;;;;;;;;57829.4;43060.6;29387.2;;
4121;Max;;;;;;;;;60355.0;44504.0;32153.0;;
4121;Mn;;;;;;;;;54021.0;37897.0;24290.0;;
4121;Md;;;;;;;;;54092.1;38557.5;24493.2;;
4121;S;;;;;;;;;3495.18;3921.04;4936.74;;
4121;Cv;;;;;;;;;0.06;0.10;0.20;;
5402;N;2;3;5;5;4;4;4;4;5;4;3;2;1
5402;Min;;;;;;;;;;;;;
5402;Q1;;;;;;;;;;;;;
5402;Q2;;;;;;;;;;;;;
5402;Q3;;;;;;;;;;;;;
5402;Q4;;;;;;;;;;;;;
5402;Max;;;;;;;;;;;;;
5402;Mn;;;;;;;;;;;;;
5402;Md;;;;;;;;;;;;;
5402;S;;;;;;;;;;;;;
5402;Cv;;;;;;;;;;;;;
8096;N;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;Min;;;;;;;;;;;;;
8096;Q1;;;;;;;;;;;;;
8096;Q2;;;;;;;;;;;;;
8096;Q3;;;;;;;;;;;;;
8096;Q4;;;;;;;;;;;;;
8096;Max;;;;;;;;;;;;;
8096;Mn;;;;;;;;;;;;;
8096;Md;;;;;;;;;;;;;
8096;S;;;;;;;;;;;;;
8096;Cv;;;;;;;;;;;;;
1014;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1014;Min;;;;;;;;;;;;;
1014;Q1;;;;;;;;;;;;;
1014;Q2;;;;;;;;;;;;;
1014;Q3;;;;;;;;;;;;;
1014;Q4;;;;;;;;;;;;;
1014;Max;;;;;;;;;;;;;
1014;Mn;;;;;;;;;;;;;
1014;Md;;;;;;;;;;;;;
1014;S;;;;;;;;;;;;;
1014;Cv;;;;;;;;;;;;;
1024E;N;16;14;13;16;16;14;14;13;16;14;13;14;1
1024E;Min;11473.0;;;38277.0;39664.0;;;;35181.0;;;;
1024E;Q1;12560.8;;;40925.2;50311.6;;;;39610.2;;;;
1024E;Q2;14554.6;;;43524.0;54037.0;;;;41511.2;;;;
1024E;Q3;16294.0;;;47062.0;57096.2;;;;43397.4;;;;
1024E;Q4;18589.2;;;49462.6;59672.0;;;;45421.6;;;;
1024E;Max;20460.0;;;57999.0;61181.0;;;;46871.0;;;;
1024E;Mn;15146.0;;;44767.5;56433.0;;;;42862.0;;;;
1024E;Md;15547.1;;;45998.2;54529.6;;;;42300.4;;;;
1024E;S;2811.01;;;5466.91;5726.56;;;;3165.27;;;;
1024E;Cv;0.18;;;0.12;0.11;;;;0.07;;;;
0367;N;4;7;5;6;6;4;5;5;8;6;8;7;1
0367;Min;;;;;;;;;;;;;
0367;Q1;;;;;;;;;;;;;
0367;Q2;;;;;;;;;;;;;
0367;Q3;;;;;;;;;;;;;
0367;Q4;;;;;;;;;;;;;
0367;Max;;;;;;;;;;;;;
0367;Mn;;;;;;;;;;;;;
0367;Md;;;;;;;;;;;;;
0367;S;;;;;;;;;;;;;
0367;Cv;;;;;;;;;;;;;
5530E;N;4;7;6;6;5;7;5;5;7;7;7;7;3
5530E;Min;;;;;;;;;;;;;
5530E;Q1;;;;;;;;;;;;;
5530E;Q2;;;;;;;;;;;;;
5530E;Q3;;;;;;;;;;;;;
5530E;Q4;;;;;;;;;;;;;
5530E;Max;;;;;;;;;;;;;
5530E;Mn;;;;;;;;;;;;;
5530E;Md;;;;;;;;;;;;;
5530E;S;;;;;;;;;;;;;
5530E;Cv;;;;;;;;;;;;;
5514;N;8;9;10;10;8;10;10;10;6;6;7;8;0
5514;Min;;;;;;;;;;;;;
5514;Q1;;;;;;;;;;;;;
5514;Q2;;;;;;;;;;;;;
5514;Q3;;;;;;;;;;;;;
5514;Q4;;;;;;;;;;;;;
5514;Max;;;;;;;;;;;;;
5514;Mn;;;;;;;;;;;;;
5514;Md;;;;;;;;;;;;;
5514;S;;;;;;;;;;;;;
5514;Cv;;;;;;;;;;;;;
3013;N;0;0;0;0;0;0;0;0;0;0;0;0;0
3013;Min;;;;;;;;;;;;;
3013;Q1;;;;;;;;;;;;;
3013;Q2;;;;;;;;;;;;;
3013;Q3;;;;;;;;;;;;;
3013;Q4;;;;;;;;;;;;;
3013;Max;;;;;;;;;;;;;
3013;Mn;;;;;;;;;;;;;
3013;Md;;;;;;;;;;;;;
3013;S;;;;;;;;;;;;;
